business_id,business_type,business_age_months,loan_amount_requested,loan_purpose,stated_annual_turnover,avg_monthly_bank_credit,turnover_bank_ratio,num_employees_stated,gst_returns_filed_last_12,gst_filing_consistency,num_companies_director_linked,any_linked_company_defaulted,address_type,num_businesses_at_same_address,address_verified,years_of_itr_filed,itr_turnover_match,existing_loans,loan_to_turnover_ratio,application_hour,is_ghost
B0001,Pvt Ltd,26,250000,expansion,9207050,775480,0.99,44.0,0,36268.77,2,0,commercial,38,1,2.0,1,3,0.03,1,0
B0002,Partnership,119,500000,inventory,4427526,442437,0.83,20.0,1,11854.07,6,0,residential,44,1,8.0,1,1,0.11,18,1
B0003,Proprietorship,40,2500000,inventory,6388203,614448,0.87,39.0,7,6889.67,8,0,commercial,39,0,2.0,0,4,0.39,18,0
B0004,LLP,118,250000,equipment purchase,15624804,1316387,0.99,27.0,6,24971.38,9,0,commercial,41,1,0.0,1,0,0.02,17,0
B0005,Pvt Ltd,55,2500000,working capital,10309153,935154,0.92,42.0,12,40138.26,2,1,coworking,6,1,4.0,1,1,0.24,23,0
B0006,Pvt Ltd,80,100000,inventory,3761365,295896,1.06,37.0,9,13939.14,9,1,residential,22,1,3.0,0,1,0.03,10,1
B0007,Pvt Ltd,82,1000000,equipment purchase,6265102,531686,0.98,20.0,2,13821.58,8,0,commercial,37,1,9.0,1,0,0.16,2,0
B0008,Proprietorship,79,1000000,expansion,15205596,1272672,1.0,11.0,3,41694.06,14,0,residential,58,1,7.0,1,4,0.07,10,1
B0009,LLP,58,100000,expansion,2705349,253731,0.89,28.0,12,7391.69,13,0,virtual office,32,1,8.0,1,2,0.04,0,0
B0010,Proprietorship,59,250000,expansion,8948893,705462,1.06,2.0,2,30836.38,13,0,coworking,59,1,9.0,1,1,0.03,1,0
B0011,Pvt Ltd,114,100000,expansion,4965943,314451,1.32,24.0,12,47750.67,11,0,commercial,28,1,4.0,1,4,0.02,23,0
B0012,Partnership,21,1000000,equipment purchase,6679064,653004,0.85,16.0,3,42065.16,8,1,residential,26,1,0.0,1,0,0.15,0,1
B0013,Proprietorship,48,500000,working capital,1014938,93958,0.9,12.0,7,3090.76,10,0,residential,4,1,3.0,1,0,0.49,0,0
B0014,Pvt Ltd,110,500000,equipment purchase,3570132,377861,0.79,16.0,8,15995.54,8,0,residential,10,1,2.0,1,1,0.14,12,0
B0015,Pvt Ltd,97,100000,working capital,4953054,395100,1.04,36.0,6,7118.72,9,0,residential,27,0,5.0,0,0,0.02,0,0
B0016,Pvt Ltd,31,250000,expansion,16743686,1042187,1.34,2.0,8,47462.03,9,0,commercial,20,1,1.0,1,0,0.01,9,0
B0017,Pvt Ltd,48,100000,inventory,19666858,1266826,1.29,25.0,8,49297.08,6,0,commercial,36,1,,1,4,0.01,12,0
